Microsoft Windows [Version 10.0.28000.1836]
(c) Корпорация Майкрософт (Microsoft Corporation). Все права защищены.

C:\Windows\System32>cd C:\Users\win11rcv\Desktop\multicast

C:\Users\win11rcv\Desktop\multicast>python tcp_adapter.py --bench-host 192.168.56.102 --retry
13:45:54.101  tcp_adapter запущен  [threading mode]
13:45:54.102    стенд:  192.168.56.102:55200  (TCP данные)
13:45:54.102    вывод:  data_tcp.bin
13:45:54.103    sync:   192.168.56.102:55100  (UDP метки)
13:45:54.103  Sync-генератор: 2000 Гц → 192.168.56.102:55100
13:45:54.111  TCP: подключение к 192.168.56.102:55200...
13:45:54.126  Работаем. Ctrl+C для остановки.
13:45:54.128  TCP: подключено к 192.168.56.102:55200
13:59:42.364  Rate: 2003 pkt/s | Total: 1656259 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:47.371  Rate: 2001 pkt/s | Total: 1666275 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:52.379  Rate: 2001 pkt/s | Total: 1676289 | Loss: 183 | CRC err: 0 | Sync: 99.3%
13:59:57.381  Rate: 2001 pkt/s | Total: 1686295 | Loss: 183 | CRC err: 0 | Sync: 99.3%
14:00:02.384  Rate: 2001 pkt/s | Total: 1696303 | Loss: 183 | CRC err: 0 | Sync: 99.3%
14:00:07.388  Rate: 2000 pkt/s | Total: 1706305 | Loss: 183 | CRC err: 0 | Sync: 99.3%
14:00:12.393  Rate: 2000 pkt/s | Total: 1716318 | Loss: 183 | CRC err: 0 | Sync: 99.3%
14:00:17.397  Rate: 2002 pkt/s | Total: 1726320 | Loss: 183 | CRC err: 0 | Sync: 99.3%
14:00:22.399  Rate: 2004 pkt/s | Total: 1736327 | Loss: 183 | CRC err: 0 | Sync: 99.3%
14:00:27.402  Rate: 1999 pkt/s | Total: 1746330 | Loss: 183 | CRC err: 0 | Sync: 99.3%
14:00:32.404  Rate: 2001 pkt/s | Total: 1756336 | Loss: 183 | CRC err: 0 | Sync: 99.3%
14:00:37.409  Rate: 1999 pkt/s | Total: 1766342 | Loss: 244 | CRC err: 0 | Sync: 99.3%
14:00:42.416  Rate: 2000 pkt/s | Total: 1776356 | Loss: 244 | CRC err: 0 | Sync: 99.3%
14:00:47.422  Rate: 1999 pkt/s | Total: 1786363 | Loss: 244 | CRC err: 0 | Sync: 99.3%
14:00:52.433  Rate: 2000 pkt/s | Total: 1796391 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:00:57.438  Rate: 2001 pkt/s | Total: 1806396 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:02.443  Rate: 2000 pkt/s | Total: 1816404 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:07.445  Rate: 2000 pkt/s | Total: 1826407 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:12.450  Rate: 2002 pkt/s | Total: 1836412 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:17.461  Rate: 2000 pkt/s | Total: 1846439 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:22.467  Rate: 2000 pkt/s | Total: 1856448 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:27.469  Rate: 2001 pkt/s | Total: 1866454 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:32.476  Rate: 1999 pkt/s | Total: 1876470 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:37.487  Rate: 2001 pkt/s | Total: 1886489 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:42.489  Rate: 2002 pkt/s | Total: 1896496 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:47.492  Rate: 2003 pkt/s | Total: 1906496 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:52.496  Rate: 2001 pkt/s | Total: 1916508 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:01:57.507  Rate: 2001 pkt/s | Total: 1926530 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:02.526  Rate: 2002 pkt/s | Total: 1936570 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:07.528  Rate: 2002 pkt/s | Total: 1946578 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:12.532  Rate: 1999 pkt/s | Total: 1956577 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:17.543  Rate: 1997 pkt/s | Total: 1966594 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:22.550  Rate: 2003 pkt/s | Total: 1976609 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:27.553  Rate: 2001 pkt/s | Total: 1986609 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:32.557  Rate: 2003 pkt/s | Total: 1996618 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:37.560  Rate: 2001 pkt/s | Total: 2006621 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:42.564  Rate: 2001 pkt/s | Total: 2016634 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:47.575  Rate: 2001 pkt/s | Total: 2026656 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:52.576  Rate: 1999 pkt/s | Total: 2036651 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:02:57.583  Rate: 2001 pkt/s | Total: 2046660 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:03:02.589  Rate: 2001 pkt/s | Total: 2056675 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:03:07.591  Rate: 2002 pkt/s | Total: 2066683 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:03:12.593  Rate: 2001 pkt/s | Total: 2076689 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:03:17.598  Rate: 2001 pkt/s | Total: 2086696 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:03:22.615  Rate: 2001 pkt/s | Total: 2096732 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:03:27.619  Rate: 2000 pkt/s | Total: 2106737 | Loss: 244 | CRC err: 0 | Sync: 99.4%
14:03:32.622  Rate: 2002 pkt/s | Total: 2116744 | Loss: 244 | CRC err: 0 | Sync: 99.5%
14:03:37.629  Rate: 2002 pkt/s | Total: 2126760 | Loss: 244 | CRC err: 0 | Sync: 99.5%
14:03:42.632  Rate: 2000 pkt/s | Total: 2136765 | Loss: 244 | CRC err: 0 | Sync: 99.5%
14:03:47.638  Rate: 2001 pkt/s | Total: 2146780 | Loss: 244 | CRC err: 0 | Sync: 99.5%
14:03:52.647  Rate: 1999 pkt/s | Total: 2156794 | Loss: 244 | CRC err: 0 | Sync: 99.5%
14:03:57.649  Rate: 2002 pkt/s | Total: 2166803 | Loss: 244 | CRC err: 0 | Sync: 99.5%
14:04:02.653  Rate: 2000 pkt/s | Total: 2176809 | Loss: 244 | CRC err: 0 | Sync: 99.5%
14:04:07.658  Rate: 2000 pkt/s | Total: 2186816 | Loss: 244 | CRC err: 0 | Sync: 99.5%
14:04:12.661  Rate: 2002 pkt/s | Total: 2196825 | Loss: 244 | CRC err: 0 | Sync: 99.5%
14:04:17.669  Rate: 2001 pkt/s | Total: 2206840 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:04:22.673  Rate: 2003 pkt/s | Total: 2216846 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:04:27.677  Rate: 2001 pkt/s | Total: 2226849 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:04:32.683  Rate: 1997 pkt/s | Total: 2236857 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:04:37.693  Rate: 2002 pkt/s | Total: 2246880 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:04:42.700  Rate: 2001 pkt/s | Total: 2256890 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:04:47.712  Rate: 1999 pkt/s | Total: 2266914 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:04:52.717  Rate: 2001 pkt/s | Total: 2276923 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:04:57.725  Rate: 2000 pkt/s | Total: 2286940 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:02.727  Rate: 2000 pkt/s | Total: 2296937 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:07.735  Rate: 2003 pkt/s | Total: 2306964 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:12.738  Rate: 1996 pkt/s | Total: 2316955 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:17.755  Rate: 2000 pkt/s | Total: 2326987 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:22.761  Rate: 2000 pkt/s | Total: 2337001 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:27.767  Rate: 2002 pkt/s | Total: 2347011 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:32.770  Rate: 2001 pkt/s | Total: 2357024 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:37.777  Rate: 2002 pkt/s | Total: 2367034 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:42.780  Rate: 2001 pkt/s | Total: 2377038 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:47.790  Rate: 2001 pkt/s | Total: 2387060 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:52.793  Rate: 2001 pkt/s | Total: 2397064 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:05:57.805  Rate: 2001 pkt/s | Total: 2407089 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:02.813  Rate: 2000 pkt/s | Total: 2417104 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:07.821  Rate: 2001 pkt/s | Total: 2427121 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:12.825  Rate: 2001 pkt/s | Total: 2437115 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:17.828  Rate: 2001 pkt/s | Total: 2447122 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:22.833  Rate: 2002 pkt/s | Total: 2457130 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:27.842  Rate: 2003 pkt/s | Total: 2467144 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:32.847  Rate: 2000 pkt/s | Total: 2477153 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:37.853  Rate: 2001 pkt/s | Total: 2487163 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:42.856  Rate: 2001 pkt/s | Total: 2497171 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:47.861  Rate: 2000 pkt/s | Total: 2507180 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:52.869  Rate: 2003 pkt/s | Total: 2517192 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:06:57.877  Rate: 1999 pkt/s | Total: 2527207 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:02.881  Rate: 2001 pkt/s | Total: 2537214 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:07.890  Rate: 2000 pkt/s | Total: 2547232 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:12.908  Rate: 2000 pkt/s | Total: 2557265 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:17.911  Rate: 2001 pkt/s | Total: 2567272 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:22.915  Rate: 2000 pkt/s | Total: 2577275 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:27.930  Rate: 2002 pkt/s | Total: 2587309 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:32.938  Rate: 2001 pkt/s | Total: 2597321 | Loss: 305 | CRC err: 0 | Sync: 99.5%
14:07:37.946  Rate: 2002 pkt/s | Total: 2607333 | Loss: 305 | CRC err: 0 | Sync: 99.5%
